0, 3391, 718, folk
1, 2787, 784, indian pop
2, 1424, 1091, deep southern trap
3, 3097, 761, desi
4, 2099, 1096, rap chileno
5, 3070, 1181, comedy rock
6, 3371, 893, trova
7, 3285, 989, mambo
8, 3624, 812, country gospel
9, 2775, 603, vietnamese pop
10, 1723, 1210, roots reggae
11, 1506, 417, vegas indie
12, 3062, 459, modern southern rock
13, 2924, 743, cantautor
14, 1401, 1044, deep trap
15, 3333, 878, jazz funk
16, 3733, 535, college a cappella
17, 1692, 1164, reggae fusion
18, 1852, 1160, merengue urbano
19, 806, 528, deep hardstyle
20, 706, 841, deep discofox
21, 2338, 1017, tropical
22, 3846, 753, deep jazz piano
23, 3559, 1003, country blues
24, 3570, 611, ye ye
25, 2240, 89, blackgaze
26, 4139, 388, classical flute
27, 2062, 316, alternative emo
28, 2136, 1013, deep swedish hip hop
29, 1578, 1075, azonto
30, 3518, 696, judaica
31, 1679, 1197, lovers rock
32, 3858, 733, deep german jazz
33, 2974, 651, new tribe
34, 558, 979, new beat
35, 2213, 763, lithumania
36, 1381, 912, ninja
37, 1222, 707, electronic
38, 1009, 1015, future garage
39, 511, 975, christian dance
40, 2484, 428, slash punk
41, 1022, 949, deep chill-out
42, 1071, 1029, latin electronica
43, 549, 1046, house
44, 2073, 981, ska
45, 528, 1245, ghettotech
46, 2402, 103, usbm
47, 4102, 682, spanish classical
48, 3341, 565, piano rock
49, 2945, 830, cajun
50, 4338, 363, classical piano
51, 1813, 445, spanish punk
52, 2149, 983, deep german hip hop
53, 3647, 1025, acoustic blues
54, 3660, 1017, delta blues
55, 3547, 995, louisiana blues
56, 1650, 338, modern uplift
57, 3921, 910, bebop
58, 3279, 901, skiffle
59, 2265, 663, spanish pop
60, 1597, 204, fallen angel
61, 2060, 497, vaporwave
62, 4066, 532, traditional scottish folk
63, 757, 1160, vapor house
64, 3224, 1037, guidance
65, 1215, 939, chill lounge
66, 3130, 201, deep ambient
67, 932, 878, big beat
68, 1833, 741, deep latin alternative
69, 2533, 949, zim
70, 3482, 973, jump blues
71, 2163, 199, unblack metal
72, 1516, 1110, soca
73, 3506, 945, folklore argentino
74, 2151, 220, garage punk
75, 2533, 212, stoner metal
76, 1997, 1039, punta
77, 1270, 659, carnaval
78, 2657, 931, desert blues
79, 2279, 1039, sega
80, 3794, 834, jazz fusion
81, 2304, 756, rai
82, 2787, 465, deep psychobilly
83, 1717, 138, melodic death metal
84, 1180, 182, post-screamo
85, 2265, 830, belly dance
86, 1482, 492, deep chiptune
87, 828, 882, dubstep product
88, 3770, 419, classic soundtrack
89, 1770, 916, abstract beats
90, 1533, 669, k-rock
91, 425, 1177, minimal melodic techno
92, 3649, 906, mallet
93, 3908, 1056, tanzlmusi
94, 3968, 396, electroacoustic improvisation
95, 702, 1044, experimental dubstep
96, 2291, 1104, merengue
97, 1787, 170, deep folk metal
98, 3419, 712, pakistani pop
99, 3149, 743, country
100, 956, 985, kizomba
101, 2140, 782, sertanejo universitario
102, 1489, 1241, funk carioca
103, 3701, 841, string band
104, 2391, 794, maghreb
105, 2559, 893, morna
106, 2328, 381, german street punk
107, 2203, 258, street punk
108, 4005, 663, indian classical
109, 2365, 170, chaotic hardcore
110, 1863, 284, alternative metal
111, 1371, 365, deep pop emo
112, 1440, 597, indietronica
113, 588, 947, deep progressive trance
114, 1997, 957, bass trip
115, 1121, 1029, electro jazz
116, 1999, 606, kiwi rock
117, 3609, 492, experimental
118, 944, 1023, electro dub
119, 969, 1108, kwaito house
120, 1356, 893, outsider house
121, 1477, 843, polish reggae
122, 3558, 540, tibetan
123, 2620, 651, romanian rock
124, 412, 1142, deep groove house
125, 1915, 243, indie shoegaze
126, 2861, 292, rock noise
127, 2457, 690, funk rock
128, 3546, 432, dark jazz
129, 1504, 773, french indietronica
130, 1770, 690, estonian pop
131, 1426, 1015, ambeat
132, 524, 1021, nu skool breaks
